E1107 04:49:56.684205       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:50:56.689396       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:51:56.683521       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:52:56.685509       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:53:56.685665       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:54:56.689455       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:55:56.685973       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:56:56.686994       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:57:56.694790       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:58:56.693242       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:59:56.688116       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 05:00:56.689536       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 05:01:56.696654       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 05:02:56.681814       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 05:03:56.695504       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 05:04:56.687709       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 05:05:56.694869       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 05:06:56.691773       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 05:07:56.686768       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 05:08:56.687170       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 05:09:56.695516       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
