E1107 03:59:00.368530       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:00:00.372931       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:01:00.376004       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:02:00.366723       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[18], badRequest
E1107 04:03:00.374723       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:04:00.379765       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[1], badRequest
E1107 04:05:00.371089       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:06:00.373465       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:07:00.380154       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:08:00.368507       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[1], badRequest
E1107 04:09:00.366042       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[18], badRequest
E1107 04:10:00.394521       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[10], badRequest
E1107 04:11:00.366732       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[10], badRequest
E1107 04:12:00.370203       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[10], badRequest
E1107 04:13:00.369089       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:14:00.389674       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[18], badRequest
E1107 04:15:00.393455       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:16:00.369976       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[0], badRequest
E1107 04:17:00.373404       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[10], badRequest
E1107 04:18:00.373119       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[10], badRequest
E1107 04:19:00.368305       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[2], badRequest
E1107 04:20:00.366793       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[1], badRequest
E1107 04:21:00.379282       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[10], badRequest
E1107 04:22:00.371986       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[18], badRequest
E1107 04:23:00.381782       1 stackdriver.go:60] Error while sending request to Stackdriver googleapi: Error 400: One or more TimeSeries could not be written: Value type for metric container.googleapis.com/internal/addons/workload_identity/metadata_server_build_info must be DOUBLE, but is INT64.: timeSeries[2], badRequest
